10,-61,30
20,-74,43
30,-67,50
40,-61,51
50,-47,51
60,-39,38
70,-15,82
80,-1,92
90,12,97
100,20,103
110,17,113
120,25,125
130,36,129
140,44,129
150,53,135
160,67,148
170,82,159
180,85,172
190,89,178
200,93,175
210,94,173
220,97,173
230,102,168
240,101,168
250,104,173
260,111,168
270,123,180
280,142,199
290,153,212
300,162,235
310,176,247
320,185,258
330,201,270
340,213,277
350,223,299
360,223,299
370,223,297
380,221,299
390,222,299
400,224,302
410,225,299
420,224,302
430,224,299
440,225,302
450,226,302
460,231,304
470,244,312
480,255,308
490,264,296
500,268,281
510,279,264
520,291,253
530,301,237
540,312,225
550,321,212
560,325,201
570,331,188
580,342,173
590,350,160
600,358,148
610,367,133
620,376,118
630,382,103
640,389,89
650,395,77
660,407,61
670,413,43
680,417,37
690,429,48
700,442,57
710,453,64
720,465,73
730,476,86
740,489,97
750,498,103
760,511,116
770,524,126
780,532,131
790,537,141
800,540,144
810,553,162
820,565,162
830,575,167
840,586,178
850,600,188
860,613,196
870,623,201
880,633,215
890,646,227
900,661,237
910,674,253
920,687,263
930,698,271
940,708,277
950,719,289
960,732,302
970,744,315
980,756,320
990,765,331
1000,779,344
1010,788,353
1020,794,363
1030,793,363
1040,794,360
1050,794,360
1060,793,363
1070,793,363
1080,793,363
1090,795,363
1100,796,363
1110,793,363
1120,793,360
1130,804,367
1140,812,372
1150,825,383
1160,836,393
1170,843,405
1180,856,412
1190,871,421
1200,884,435
1210,894,442
1220,907,445
1230,922,460
1240,928,461
1250,941,478
1260,946,495
1270,948,508
1280,951,510
1290,949,510
1300,947,510
1310,947,508
1320,948,510
1330,949,510
1340,949,508
1350,947,508
1360,958,515
1370,961,524
1380,951,543
1390,941,551
1400,936,559
1410,925,572
1420,915,585
1430,907,603
1440,896,614
1450,887,626
1460,876,632
1470,867,646
1480,854,659
1490,841,666
1500,835,679
1510,841,701
1520,844,709
1530,856,730
1540,865,738
1550,872,751
1560,881,765
1570,888,782
1580,897,797
1590,907,807
1600,915,820
1610,923,834
1620,933,856
1630,942,872
1640,950,885
1650,958,894
1660,968,909
1670,976,922
1680,988,943
1690,994,942
1700,994,936
1710,989,940
1720,987,942
1730,987,936
1740,988,936
1750,989,940
1760,989,940
1770,988,940
1780,988,942
1790,989,942
1800,989,943
1810,996,956
1820,1004,969
1830,1011,984
1840,1020,997
1850,1026,1010
1860,1035,1025
1870,1042,1038
1880,1049,1051
1890,1059,1061
1900,1070,1052
1910,1080,1042
1920,1089,1036
1930,1100,1031
1940,1108,1026
1950,1107,1020
1960,1100,1020
