10,4,-7
20,15,-24
30,23,-35
40,24,-47
50,29,-58
60,40,-74
70,50,-83
80,61,-89
90,72,-103
100,83,-110
110,95,-102
120,103,-102
130,114,-96
140,130,-83
150,139,-76
160,152,-73
170,164,-61
180,175,-66
190,181,-74
200,191,-89
210,198,-100
220,205,-113
230,212,-128
240,220,-148
250,228,-162
260,231,-172
270,240,-185
280,247,-205
290,256,-218
300,260,-234
310,267,-250
320,271,-273
330,276,-287
340,280,-302
350,288,-320
360,291,-330
370,301,-349
380,304,-360
390,308,-370
400,308,-376
410,308,-377
420,310,-373
430,312,-373
440,313,-373
450,314,-373
460,315,-373
470,315,-376
480,315,-376
490,315,-377
500,315,-377
510,321,-377
520,332,-373
530,344,-367
540,360,-360
550,374,-351
560,387,-347
570,400,-341
580,412,-336
590,421,-334
600,430,-340
610,440,-336
620,455,-323
630,468,-317
640,477,-302
650,481,-299
660,490,-305
670,502,-320
680,505,-328
690,519,-340
700,530,-354
710,537,-370
720,553,-392
730,566,-408
740,569,-418
750,579,-435
760,586,-450
770,590,-458
780,596,-473
790,606,-491
800,615,-502
810,628,-512
820,633,-525
830,643,-535
840,646,-550
850,648,-559
860,657,-574
870,666,-593
880,659,-603
890,654,-610
900,655,-614
910,658,-614
920,659,-617
930,656,-616
940,671,-630
950,684,-633
960,696,-636
970,705,-633
980,714,-637
990,726,-646
1000,741,-655
1010,751,-665
1020,756,-676
1030,769,-685
1040,779,-693
1050,794,-719
1060,806,-728
1070,822,-751
1080,839,-756
1090,847,-762
1100,856,-766
1110,867,-774
1120,873,-781
1130,883,-785
1140,896,-788
1150,907,-800
1160,913,-804
1170,925,-813
1180,935,-818
1190,945,-828
1200,955,-836
1210,955,-859
1220,945,-877
1230,939,-886
1240,929,-903
1250,922,-913
1260,915,-926
1270,909,-943
1280,906,-952
1290,890,-966
1300,886,-962
1310,879,-952
1320,872,-945
